Belly | noun | vol.1 | pikmin | kyt's papa | Belly is worried about his cholesterol.
Berry | noun | vol.1 | pikmin | kyt's mama | Berry gets fomo when she's not there.
Billi | noun | vol.1 | pikmin | jyu | Billi bob joe.
Bolli | noun | vol.1 | pikmin | emt's unused game name | Bolli doesn't play pikmin.
Borri | noun | vol.1 | pikmin | kyt | Happy anniversary Borri!
Bulli | noun | vol.1 | pikmin | yjt | Bulli cant run
Besties | noun | vol.1 | doug | Justin and Kailey ❤️ | You like that too?! Omg besties!!
Bojji | noun | vol.1 | ranking of kings | Main character of Ranking of Kings but used when we hear a baby | Baby: "aah euh wahh" Us: "Bojji?!"
Bongseok | noun | vol.1 | moving | Lead male actor in Moving but commonly used when we see or hear Korean | Someone:"여보세요" Us: Bongseok-a
Boss | noun | vol.1 | jyu | The person who is in charge and give orders aka Kailey. | Sup boss. Yes boss.  
Can I pet that dawg? | verb | vol.1 | tiktok | Online video portraying a lil white wanting to pet a "dawg" | *Sees Dawg* Can I pet that dawg?!
Chop chop | adverb | vol.1 | kyt | Doug telling doug to hurry up and decide | Where are we eating?? Chop Chop!
Chotto sugoi | adverb | vol.2 | yjt | Used to describe something that is indeed chotto sugoi | yjt: "3 shower heads is chotto sugoi"
Crash out | adverb | vol.2 | kyt | doug anytime something incontinent happens | sev 2 while riding bike im going to crash out
Curry Roux | noun | vol.2 | kyt | kyt's Amazon rental bike after Sazed died named after its dark red color | kyt: "sazed is dead i have curry roux now"
Daveed | noun | vol.1 | twice | Secret tall large smelly asian bestie from twice concert aka jyu's father | *Shouting* Daveed?? Wait was it David or Daniel?
Dawg | noun | vol.1 | jyu | Another homie or real dawg | Sup dawg.
DB | noun | vol.1 | kyt | Miffy creator aka Dick Bruna | kyt's favorite uniqlo shirt she doesn't have bc DB
Distinguished | adjective | vol.1 | jyu | Moneymaker Kailey who is the top engineer at Amazon | Kaliey is the funny distinguished moneymaker hoho.
Donut | noun | vol.1 | duncan | Kailey's favorite dessert | Kailey: "omg donut omnomnom"
Doug | noun | vol.1 | jyu | doug | Yes doug. 
Dougster | noun | vol.1 | jyu | Doug but ster | Sup dougster. 
Drugster | noun | vol.1 | kyt | Kyt when she's on her pp | Kailey: "My pp was hard so I took drugs." Justin: "omg drugster."
Eee (えええ) | interjection | vol.0 | nihonjins | what nihonjins say in response to any situation | Kailey: "I'm at my limit." Doug: "えええ"
Flo san | noun | vol.2 | kyt | kyt's first fulltime manager aka running biking prodigy | trevor: "flo san is gone he was the only manager who actually managed" 
Genius | noun | vol.1 | jyu | Kailey who is exceptionally intelligent, creative, and above others | Kailey: "You're smart." Justin: "You're a genius."
Go way back | phrase | vol.1 | kyt | To be besties before knowing | You like tea too? That means we go way back.
Good one | verb | vol.1 | kyt | Good one | You're funny. Good one doug.
Head chef | noun | vol.1 | jyu | Kailey's cooking | Omg head chef Kailey like always.
Hitesh | noun | vol.1 | cse ta | someone we know but used to describe middle aged rishi's with facial hair | *Random guy walks by* Us: "Hitesh?!"
Hoho (ほほ) | interjection | vol.0 | yjt | Bulli's favorite word | You're the money maker ほほ.
How was your day? | phrase | vol.1 | kyt | Said when doug gets in the car | *Doug sits in passenger seat* Doug: "So how was your day?"
How was your week? | phrase | vol.1 | jyu | Said in response to how was your week | Doug: "So how was your day?" Doug: "How was your week?"
I got violated | adjective | vol.1 | kyt | Kailey's visit to Jessie Wang | My pp got violated by that thing.
